TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:504953171	AT4G07938	AT4G07938.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 6.9e-176 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:504953212	AT4G04407	AT4G04407.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Ta11 non-LTR retroelement protein -related, temporary automated functional assignment;(source:TAIR10)		 	false
Gene:504953326	AT4G07846	AT4G07846.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 0.00049 P-value blast match to GB:AAA98435 POL3 gene product (gypsy_Ty3-element) (Saccharomyces cerevisiae);(source:TAIR10)		 	false
Gene:504953436	AT3G43152	AT3G43152.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 1.3e-274 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:1005716086	AT5G31838	AT5G31838.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G10285.1);(source:TAIR10)		 	false
Gene:504953503	AT3G42182	AT3G42182.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 0. P-value blast match to GB:BAA22288 pol polyprotein (Ty1_Copia-element) (Oryza australiensis)GB:BAA22288 polyprotein (Ty1_Copia-element) (Oryza australiensis)gi|2443320|dbj|BAA22288.1| polyprotein (RIRE1) (Oryza australiensis) (Ty1_Copia-element);(source:TAIR10)		 	false
Gene:3707018	AT5G32254	AT5G32254.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 6.7e-114 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:504953648	AT3G43142	AT3G43142.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 5.0e-273 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:504953652	AT3G43095	AT3G43095.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein, similar to putative non-LTR retroelement reverse transcriptase;(source:TAIR10)		 	false
Gene:504954059	AT1G38149	AT1G38149.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 1.1e-51 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:1005714075	AT4G06505	AT4G06505.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1005714110	AT4G06636	AT4G06636.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mutator-like transposase family, has a 1.9e-74 P-value blast match to Q9SJR8 /172-333 Pfam PF03108 MuDR family transposase (MuDr-element domain);(source:TAIR10)		 	false
Gene:504952858	AT5G35116	AT5G35116.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (Ptta/En/Spm), has a 2.7e-85 P-value blast match to At5g36655.1/81-333 CACTA-like transposase family (Ptta/En/Spm) (CACTA-element) (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:504954137	AT1G43205	AT1G43205.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G07523.1);(source:TAIR10)		 	true
Gene:4010713232	AT5G36736	AT5G36736.1	transposable_element_gene	transposable_element_gene;(source:Araport11)		 	false
Gene:1006228017	AT2G10405	AT2G10405.1	transposable_element_gene	transposable_element_gene;(source:Araport11);hAT-like transposase family (hobo/Ac/Tam3), has a 1.3e-19 P-value blast match to GB:CAA29005 ORFa of Maize Ac (hAT-element) (Zea mays);(source:TAIR10)		 	false
Gene:1006228115	AT2G28053	AT2G28053.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 2.6e-06 P-value blast match to GB:CAA72989 open reading frame 1 (Ty1_Copia-element) (Brassica oleracea);(source:TAIR10)		 	false
Gene:1006228387	AT2G10617	AT2G10617.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 3.0e-32 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:1006228728	AT3G43147	AT3G43147.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1006228820	AT4G07967	AT4G07967.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1006229348	AT5G35535	AT5G35535.1	transposable_element_gene	transposable_element_gene;(source:Araport11);non-LTR retrotransposon family (LINE), has a 2.2e-31 P-value blast match to GB:NP_038604 L1 repeat, Tf subfamily, member 26 (LINE-element) (Mus musculus);(source:TAIR10)		 	false
Gene:1006229430	AT5G32515	AT5G32515.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1006227893	AT5G25955	AT5G25955.1	transposable_element_gene	transposable_element_gene;(source:Araport11);non-LTR retrotransposon family (LINE), has a 2.7e-17 P-value blast match to GB:NP_038605 L1 repeat, Tf subfamily, member 30 (LINE-element) (Mus musculus);(source:TAIR10)		 	false
Gene:1006229469	AT5G35348	AT5G35348.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:504952960	AT5G33391	AT5G33391.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein, similar to putative transposon protein;(source:TAIR10)		 	false
Gene:1005715233	AT1G37340	AT1G37340.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 9.2e-199 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:1005715707	AT1G40105	AT1G40105.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (Ptta/En/Spm), has a 5.1e-40 P-value blast match to At5g29026.1/8-244 CACTA-like transposase family (Ptta/En/Spm) (CACTA-element) (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:504953224	AT4G08076	AT4G08076.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 2.7e-64 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:504953330	AT4G03305	AT4G03305.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G40110.1);(source:TAIR10)		 	false
Gene:504953410	AT4G07706	AT4G07706.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (En/Spm), has a 4.2e-16 P-value blast match to GB:BAA20532 ORF of transposon Tdc1 (CACTA-element) (Daucus carota);(source:TAIR10)		 	false
Gene:2828377	AT2G07735	AT2G07735.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 4.8e-21 P-value blast match to reverse transcriptase (Ty1_Copia-element) (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:2828722	AT3G32135	AT3G32135.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mutator-like transposase family, has a 7.4e-59 P-value blast match to O80466 /172-336 Pfam PF03108 MuDR family transposase (MuDr-element domain);(source:TAIR10)		 	false
Gene:3710979	AT5G50315	AT5G50315.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mutator-like transposase family, has a 5.0e-14 P-value blast match to Q9XE24 /118-277 Pfam PF03108 MuDR family transposase (MuDr-element domain);(source:TAIR10)		 collective leaf structure, flower, flower pedicel, flowering stage, guard cell, hypocotyl, mature plant embryo stage, petal, petal differentiation and expansion stage, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, root, seed, sepal, shoot apex, stamen, stem, vascular leaf	true
Gene:504953819	AT2G12835	AT2G12835.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 1.3e-41 P-value blast match to gb|AAL06421.1|AF378079_1 reverse transcriptase (Athila4) (Arabidopsis thaliana) (Gypsy_Ty3-family);(source:TAIR10)		 	false
Gene:2830239	AT3G29515	AT3G29515.1	transposable_element_gene	transposable_element_gene;(source:Araport11);non-LTR retrotransposon family (LINE), has a 1.6e-11 P-value blast match to GB:NP_038602 L1 repeat, Tf subfamily, member 18 (LINE-element) (Mus musculus);(source:TAIR10)		 	false
Gene:504952631	AT5G33285	AT5G33285.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, similar to Hypothetical protein with similarity to putative Ac-like transposases, similar to Ac-like transposase;(source:TAIR10)		 	false
Gene:504953894	AT2G01022	AT2G01022.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 4.3e-208 P-value blast match to GB:AAD27547 polyprotein (Gypsy_Ty3-element) (Oryza sativa subsp. indica);(source:TAIR10)		 	false
Gene:2830754	AT3G29775	AT3G29775.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 2.8e-246 P-value blast match to gb|AAO73527.1| gag-pol polyprotein (Glycine max) (SIRE1) (Ty1_Copia-family);(source:TAIR10)		 	false
Gene:2830900	AT3G33225	AT3G33225.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein, similar to hypothetical protein GB:AAD36941 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:504952645	AT5G35145	AT5G35145.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein, PF03078: ATHILA ORF-1 family;(source:TAIR10)		 	false
Gene:2036664	AT1G42610	AT1G42610.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:2042214	AT2G13180	AT2G13180.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 5.1e-23 P-value blast match to GB:AAD22153 polyprotein (Gypsy_Ty3-element) (Sorghum bicolor);(source:TAIR10)		 	false
Gene:2045007	AT2G05010	AT2G05010.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mutator-like transposase family, has a 3.6e-93 P-value blast match to Q9SI25 /181-349 Pfam PF03108 MuDR family transposase (MuDr-element domain);(source:TAIR10)		 	false
Gene:2047420	AT2G24930	AT2G24930.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to Ulp1 protease family protein [Arabidopsis thaliana] (TAIR:AT3G30640.1);(source:TAIR10)		 	false
Gene:2049932	AT2G11410	AT2G11410.1	transposable_element_gene	transposable_element_gene;(source:Araport11);non-LTR retrotransposon family (LINE), has a 3.9e-28 P-value blast match to GB:NP_038603 L1 repeat, Tf subfamily, member 23 (LINE-element) (Mus musculus);(source:TAIR10)		 	false
Gene:2053942	AT2G17610	AT2G17610.1	transposable_element_gene	transposable_element_gene;(source:Araport11);non-LTR retrotransposon family (LINE), has a 3.6e-21 P-value blast match to GB:AAA39398 ORF2 (Mus musculus) (LINE-element);(source:TAIR10)		 	false
Gene:2054291	AT2G12060	AT2G12060.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein, contains Pfam profile PF03384: Drosophila protein of unknown function, DUF287;(source:TAIR10)		 	false
Gene:3437142	AT2G05750	AT2G05750.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (En/Spm), has a 2.9e-126 P-value blast match to GB:AAA66266 unknown protein ORF1 transposable element En-1 (CACTA-element) (Zea mays);(source:TAIR10)		 	false
Gene:2060335	AT2G13460	AT2G13460.1	transposable_element_gene	transposable_element_gene;(source:Araport11);non-LTR retrotransposon family (LINE), has a 3.0e-35 P-value blast match to GB:NP_038603 L1 repeat, Tf subfamily, member 23 (LINE-element) (Mus musculus);(source:TAIR10)		 	false
Gene:2829580	AT3G30765	AT3G30765.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (En/Spm), has a 4.6e-111 P-value blast match to GB:BAA20532 ORF of transposon Tdc1 (CACTA-element) (Daucus carota);(source:TAIR10)		 	false
Gene:1005713691	AT5G32035	AT5G32035.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1005713869	AT4G06591	AT4G06591.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 2.1e-121 P-value blast match to GB:BAA84458 GAG-POL precursor (gypsy_Ty3-element) (Oryza sativa)gi|5902445|dbj|BAA84458.1| GAG-POL precursor (Oryza sativa (japonica cultivar-group)) (RIRE2) (Gypsy_Ty3-family);(source:TAIR10)		 	false
Gene:2830994	AT3G32897	AT3G32897.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:504952685	AT5G35720	AT5G35720.1	transposable_element_gene	transposable_element_gene;(source:Araport11);non-LTR retrotransposon family (LINE), has a 6.9e-12 P-value blast match to GB:AAB41224 ORF2 (LINE-element) (Rattus norvegicus);(source:TAIR10)		 	false
Gene:2831542	AT4G16870	AT4G16870.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 0. P-value blast match to dbj|BAA78426.1| polyprotein (AtRE2-1) (Arabidopsis thaliana) (Ty1_Copia-element);(source:TAIR10)		 LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:504952805	AT5G38595	AT5G38595.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to zinc ion binding [Arabidopsis thaliana] (TAIR:AT1G17277.1);(source:TAIR10)		 	false
Gene:504952787	AT5G36015	AT5G36015.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, similar to OSJNBa0026J14.30, blastp match of 57%25 identity and 3.0e-64 P-value to GP|20146463|dbj|BAB89243.1||AP004231 OSJNBa0026J14.30 {Oryza sativa (japonica cultivar-group)};(source:TAIR10)		 	false
Gene:3435345	AT1G37035	AT1G37035.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mutator-like transposase family, has a 5.6e-50 P-value blast match to Q9S9L1 /206-367 Pfam PF03108 MuDR family transposase (MuDr-element domain);(source:TAIR10)		 	false
Gene:3437227	AT2G07660	AT2G07660.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 2.8e-303 P-value blast match to GB:AAD27547 polyprotein (Gypsy_Ty3-element) (Oryza sativa subsp. indica);(source:TAIR10)		 	false
Gene:504952881	AT5G32122	AT5G32122.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1006228781	AT4G06480	AT4G06480.2	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1006229926	AT1G39511	AT1G39511.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 1.4e-219 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:1006228287	AT2G14335	AT2G14335.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1006228681	AT3G47875	AT3G47875.1	transposable_element_gene	transposable_element_gene;(source:Araport11);non-LTR retrotransposon family (LINE), has a 9.1e-40 P-value blast match to GB:BAA20419 reverse transcriptase (LINE-element) (Mus musculus);(source:TAIR10)		 	false
Gene:1006229009	AT4G06633	AT4G06633.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1006229151	AT5G29033	AT5G29033.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 4.5e-58 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:1006229161	AT5G28623	AT5G28623.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G44570.1);(source:TAIR10)		 	false
Gene:1006229185	AT5G35061	AT5G35061.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1006229295	AT5G44416	AT5G44416.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mutator-like transposase family, has a 4.6e-75 P-value blast match to Q9SI25 /181-349 Pfam PF03108 MuDR family transposase (MuDr-element domain);(source:TAIR10)		 	false
Gene:2011364	AT1G35760	AT1G35760.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mutator-like transposase family, has a 8.7e-50 P-value blast match to Q9SHN7 /450-633 Pfam PF03108 MuDR family transposase (MuDr-element domain);(source:TAIR10)		 	false
Gene:2027066	AT1G21330	AT1G21330.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G40680.1);(source:TAIR10)		 	true
Gene:2028289	AT1G45090	AT1G45090.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G28480.1);(source:TAIR10)		 	false
Gene:2093886	AT3G30420	AT3G30420.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G54430.1);(source:TAIR10)		 	false
Gene:2086610	AT3G29820	AT3G29820.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, similar to putative reverse transcriptase, blastp match of 23%25 identity and 1.1e-09 P-value to GP|13786450|gb|AAK39575.1|AC025296_10|AC025296 putative reverse transcriptase {Oryza sativa};(source:TAIR10)		 	false
Gene:3438160	AT3G20975	AT3G20975.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 8.6e-08 P-value blast match to gb|AAO73529.1| gag-pol polyprotein (Glycine max) (SIRE1) (Ty1_Copia-family);(source:TAIR10)		 	false
Gene:2084642	AT3G32290	AT3G32290.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 9.0e-22 P-value blast match to GB:AAD19359 polyprotein (gypsy_Ty3-element) (Sorghum bicolor);(source:TAIR10)		 	false
Gene:2092624	AT3G30630	AT3G30630.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 1.1e-300 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:2150460	AT5G28880	AT5G28880.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:3439452	AT4G02490	AT4G02490.1	transposable_element_gene	transposable_element_gene;(source:Araport11);non-LTR retrotransposon family (LINE), has a 2.3e-36 P-value blast match to GB:AAA67727 reverse transcriptase (LINE-element) (Mus musculus);(source:TAIR10)		 	false
Gene:2136596	AT4G04070	AT4G04070.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G30810.1);(source:TAIR10)		 	false
Gene:2136646	AT4G04120	AT4G04120.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 3.8e-19 P-value blast match to GB:BAA78423 polyprotein (Ty1_Copia-element) (Arabidopsis thaliana)GB:BAA78423 polyprotein (Ty1_Copia-element) (Arabidopsis thaliana)GB:BAA78423 polyprotein (Ty1_Copia-element) (Arabidopsis thaliana)gi|4996361|dbj|BAA78423.1| polyprotein (Arabidopsis thaliana) (Ty1_Copia-element);(source:TAIR10)		 	false
Gene:2138482	AT4G07520	AT4G07520.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G27160.1);(source:TAIR10)		 	false
Gene:2824017	AT1G51175	AT1G51175.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 3.2e-181 P-value blast match to GB:AAD19359 polyprotein (gypsy_Ty3-element) (Sorghum bicolor);(source:TAIR10)		 	false
Gene:2824705	AT1G35535	AT1G35535.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 3.6e-252 P-value blast match to GB:CAA31653 polyprotein (Ty1_Copia-element) (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:3443022	AT5G28170	AT5G28170.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to Ulp1 protease family protein [Arabidopsis thaliana] (TAIR:AT1G35110.1);(source:TAIR10)		 flower, flowering stage, petal differentiation and expansion stage, stamen, stem	false
Gene:2826814	AT1G47816	AT1G47816.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mutator-like transposase family, has a 2.5e-26 P-value blast match to Q9SLM0 /314-478 Pfam PF03108 MuDR family transposase (MuDr-element domain);(source:TAIR10)		 	false
Gene:1005714217	AT4G06525	AT4G06525.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 5.8e-68 P-value blast match to GB:AAD12998 pol polyprotein (Ty1_Copia-element) (Zea mays);(source:TAIR10)		 	false
Gene:1006228040	AT2G11485	AT2G11485.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1006228124	AT2G14793	AT2G14793.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 2.0e-24 P-value blast match to GB:AAD22153 polyprotein (Gypsy_Ty3-element) (Sorghum bicolor);(source:TAIR10)		 	false
Gene:1006228205	AT2G13975	AT2G13975.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G43920.1);(source:TAIR10)		 guard cell	true
Gene:1006228211	AT2G41745	AT2G41745.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, similar to putative reverse transcriptase, blastp match of 28%25 identity and 4.7e-24 P-value to GP|20279456|gb|AAM18736.1|AC092548_14|AC092548 putative reverse transcriptase {Oryza sativa (japonica cultivar-group)};(source:TAIR10)		 	false
Gene:1006228486	AT3G33084	AT3G33084.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 1.6e-186 P-value blast match to GB:AAD22153 polyprotein (Gypsy_Ty3-element) (Sorghum bicolor);(source:TAIR10)		 	false
Gene:1006228714	AT3G43828	AT3G43828.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (En/Spm), has a 5.8e-16 P-value blast match to GB:BAA20532 ORF of transposon Tdc1 (CACTA-element) (Daucus carota);(source:TAIR10)		 guard cell	false
Gene:1006229125	AT5G28468	AT5G28468.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 8.9e-46 P-value blast match to GB:CAA72989 open reading frame 1 (Ty1_Copia-element) (Brassica oleracea);(source:TAIR10)		 	false
Gene:2035568	AT1G32680	AT1G32680.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G35880.1);(source:TAIR10)		 	false
Gene:2042176	AT2G14220	AT2G14220.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 1.6e-167 P-value blast match to GB:BAA78423 polyprotein (Ty1_Copia-element) (Arabidopsis thaliana)GB:BAA78423 polyprotein (Ty1_Copia-element) (Arabidopsis thaliana)GB:BAA78423 polyprotein (Ty1_Copia-element) (Arabidopsis thaliana)gi|4996361|dbj|BAA78423.1| polyprotein (Arabidopsis thaliana) (Ty1_Copia-element);(source:TAIR10)		 guard cell	false
Gene:2042259	AT2G13310	AT2G13310.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (Ptta/En/Spm), has a 1.3e-123 P-value blast match to At5g36655.1/81-333 CACTA-like transposase family (Ptta/En/Spm) (CACTA-element) (Arabidopsis thaliana);(source:TAIR10)		 	true
Gene:2044560	AT2G15940	AT2G15940.1	transposable_element_gene	transposable_element_gene;(source:Araport11);hAT-like transposase family (hobo/Ac/Tam3), has a 1.1e-114 P-value blast match to GB:AAD24567 transposase Tag2 (hAT-element) (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:2052676	AT2G11690	AT2G11690.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (Tnp1/En/Spm), has a 4.8e-34 P-value blast match to ref|NP_189784.1| TNP1-related protein (Arabidopsis thaliana) (CACTA-element);(source:TAIR10)		 	false
Gene:2053051	AT2G10280	AT2G10280.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 5.3e-53 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:2055685	AT2G10170	AT2G10170.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 4.2e-278 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:2063559	AT2G10540	AT2G10540.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 1.1e-165 P-value blast match to GB:CAA73042 polyprotein (Gypsy_Ty3-element) (Ananas comosus);(source:TAIR10)		 	false
Gene:3437442	AT2G06900	AT2G06900.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (Tnp2/En/Spm), has a 8.6e-144 P-value blast match to gb|AAG52024.1|AC022456_5 Tam1-homologous transposon protein TNP2, putative;(source:TAIR10)		 	false
Gene:2085799	AT3G30810	AT3G30810.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G04070.1);(source:TAIR10)		 	false
Gene:2826542	AT1G52210	AT1G52210.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 7.7e-186 P-value blast match to GB:CAA72989 open reading frame 1 (Ty1_Copia-element) (Brassica oleracea);(source:TAIR10)		 	false
Gene:504954239	AT5G29975	AT5G29975.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 1.4e-306 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:1006229500	AT5G29890	AT5G29890.2	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 5.2e-21 P-value blast match to GB:BAA84458 GAG-POL precursor (gypsy_Ty3-element) (Oryza sativa)gi|5902445|dbj|BAA84458.1| GAG-POL precursor (Oryza sativa (japonica cultivar-group)) (RIRE2) (Gypsy_Ty3-family);(source:TAIR10)		 	false
